OBJECTID,ZIP_CODE,populationtotals_totpop_cy,Positive,CasesP100000,ZipInt,ActiveCases,ActiveCaseRate,SHAPE_Length,SHAPE_Area
1,78002,9061,378,4171.7249751683,78002,24,264.871426994813,0.427542058560514,0.00954623788490874
2,78006,5243,96,1831.01277894335,78006,7,133.511348464619,0.552725159710138,0.00541649220394217
4,78015,12254,192,1566.83531907948,78015,16,130.56960992329,0.278955129453189,0.00231200753284117
5,78023,29569,642,2171.1928032737,78023,49,165.7140924617,0.886454761018305,0.0179216942251221
7,78052,699,28,4005.72246065808,78052,1,143.061516452074,0.260085445963998,0.00114676264154463
12,78069,2290,83,3624.45414847162,78069,5,218.340611353712,0.254858728476289,0.00204096903047596
13,78073,7312,300,4102.84463894967,78073,14,191.466083150985,0.580797711621007,0.01168479787501
14,78101,4485,104,2318.84057971014,78101,7,156.075808249721,0.543171950721,0.00650219695453448
15,78108,880,7,795.454545454545,78108,1,113.636363636364,0.304887306861756,0.000857617268199003
16,78109,50260,1346,2678.07401512137,78109,66,131.317150815758,0.737848686813744,0.00768190076697597
17,78112,8791,329,3742.46388351723,78112,17,193.379592765328,0.542672385774156,0.0114077974449131
21,78148,20881,608,2911.73794358508,78148,39,186.772664144438,0.308430816718527,0.00146786220547511
23,78152,2234,71,3178.1557743957,78152,9,402.864816472695,0.495777478368104,0.00784450832449107
24,78154,12029,170,1413.25130933577,78154,13,108.072158949206,0.739526071602454,0.00430998923210092
27,78201,45977,1946,4232.55105813776,78201,77,167.47504186876,0.247548532380663,0.00172051544941901
28,78202,12654,461,3643.11680101154,78202,6,47.4158368895211,0.125396079151249,0.000595885445525836
29,78203,5888,251,4262.90760869565,78203,6,101.902173913043,0.0980526804843492,0.000317660267394748
30,78204,13172,493,3742.78773155178,78204,28,212.572122684482,0.158998398542931,0.0006695514450317
31,78205,1633,63,3857.93018983466,78205,5,306.184935701164,0.120517878125965,0.000239364085303989
32,78207,58019,3205,5524.05246557162,78207,91,156.845171409366,0.200003383981761,0.0018181222856127
33,78208,5262,189,3591.79019384265,78208,6,114.025085518814,0.10226461681922,0.000242633276242179
34,78209,42456,894,2105.70944036179,78209,61,143.67816091954,0.25060190032917,0.00241631015760175
35,78210,39242,1583,4033.94322409663,78210,43,109.576474185821,0.261500777081989,0.00183117324291654
36,78211,32211,1870,5805.47018099407,78211,74,229.73518363292,0.318946412543836,0.00241266029952722
37,78212,29916,966,3229.04131568391,78212,42,140.393100681909,0.204094905631927,0.00169898288457153
38,78213,42065,1649,3920.12361820991,78213,86,204.445501010341,0.238127832503917,0.00188085643039471
39,78214,24155,1299,5377.76857793418,78214,28,115.9180293935,0.39302228885696,0.00314241609930726
40,78215,4445,102,2294.71316085489,78215,5,112.485939257593,0.101510444563373,0.000252615428520398
41,78216,37499,1128,3008.08021547241,78216,67,178.671431238166,0.292918075839403,0.00339277704324703
42,78217,32205,866,2689.02344356466,78217,35,108.678776587486,0.297492486192272,0.00239480319530038
43,78218,37306,1207,3235.40449257492,78218,86,230.525920763416,0.282249031782979,0.00263277051594338
44,78219,16333,574,3514.35743586604,78219,18,110.206330741444,0.412524089737439,0.00345586487725272
45,78220,17459,845,4839.91064780343,78220,25,143.192622716078,0.326720497099131,0.00262055755887436
46,78221,40109,2132,5315.51522102271,78221,77,191.976863048194,0.622747930075655,0.00799058662330012
47,78222,22529,977,4336.6327844112,78222,25,110.968085578588,0.405847443249234,0.00396803555686935
48,78223,55608,2557,4598.25924327435,78223,94,169.040425838009,0.961477671048263,0.00994527115937661
49,78224,20239,1410,6966.74736894115,78224,46,227.283956717229,0.436220199826634,0.00367646868584437
50,78225,12982,708,5453.70513018025,78225,28,215.683253735942,0.0990406023837407,0.000459708071399967
51,78226,6269,367,5854.2032222045,78226,10,159.515074174509,0.219270266870784,0.000926277175201235
52,78227,47269,2302,4869.99936533457,78227,86,181.937421989041,0.401205100763156,0.00336467234371822
53,78228,62538,2824,4515.6544820749,78228,105,167.897918065816,0.245259022367974,0.00271935368602038
54,78229,31602,1082,3423.8339345611,78229,63,199.354471235998,0.182495933425693,0.0013690114285405
55,78230,42740,1081,2529.24660739354,78230,48,112.306972391203,0.248253690309117,0.00250368676031364
56,78231,10967,209,1905.71715145436,78231,6,54.7095832953406,0.225308648128838,0.0010946283090362
57,78232,37942,721,1900.2688313742,78232,41,108.059670022666,0.239645125441808,0.00287532477926788
58,78233,48110,1330,2764.49802535855,78233,81,168.364165454168,0.317882385940089,0.00331697494965092
59,78234,7288,84,1152.57958287596,78234,2,27.4423710208562,0.227581833769856,0.00126770147434165
60,78235,3182,73,2294.15461973601,78235,3,94.2803268384664,0.100441654460978,0.00051357577246388
61,78236,11007,976,8867.08458253838,78236,41,372.49023348778,0.452838568959557,0.00325927792578639
62,78237,36938,2435,6592.12734852997,78237,77,208.457415128052,0.173880398230554,0.00166803115539986
63,78238,26671,975,3655.65595590717,78238,43,161.223801132316,0.257059054870328,0.00224430209664908
64,78239,32687,890,2722.79499495212,78239,38,116.254168323798,0.217431138999985,0.00161977165489994
65,78240,55756,1545,2771.0022239759,78240,72,129.134084224119,0.279514999754245,0.0027088528788916
66,78242,31814,1727,5428.42773621676,78242,40,125.730810335073,0.19538562767714,0.00188151743859179
67,78244,33128,1077,3251.02632214441,78244,36,108.669403525718,0.310727523936299,0.00174397643078448
68,78245,87105,3224,3701.28006429022,78245,186,213.535388324436,0.51114148601558,0.00801772727023379
69,78247,50358,1119,2222.08983676874,78247,77,152.905198776758,0.338586399053541,0.00315043347388655
70,78248,13934,288,2066.88675183006,78248,28,200.947323094589,0.166139347853391,0.000964216056325844
71,78249,57928,1523,2629.12581135202,78249,98,169.175528241956,0.301737053063202,0.00355785739564084
72,78250,55375,1561,2818.96162528217,78250,77,139.051918735892,0.313230621519021,0.00233611068305064
73,78251,59980,1924,3207.73591197066,78251,106,176.725575191731,0.286268628718941,0.00349495376303103
74,78252,14611,631,4318.66402025871,78252,27,184.7922797892,0.545708595203557,0.0073233140988388
75,78253,55635,1365,2453.49150714478,78253,76,136.60465534286,0.373568111711908,0.0080292823609268
76,78254,69088,1924,2784.85409911996,78254,134,193.955534969893,0.632954164652647,0.00604978492625338
77,78255,18495,353,1908.62395241957,78255,29,156.799134901325,0.519312199765481,0.00392729091081641
78,78256,12856,394,3064.71686372122,78256,15,116.67703795893,0.233368173539543,0.0020191881849735
79,78257,9807,398,4058.32568573468,78257,29,295.707147955542,0.632339515691723,0.013873630257911
80,78258,49810,1136,2280.66653282473,78258,73,146.556916281871,0.40384774420705,0.00408375641156079
81,78259,28293,605,2138.33810483158,78259,44,155.515498533206,0.30299657038624,0.00419824694751041
82,78260,36255,786,2167.97683078196,78260,64,176.527375534409,0.407155779208477,0.00581765609373763
83,78261,23828,507,2127.7488668793,78261,50,209.837166358906,0.474301719272907,0.00674324031618359
84,78263,5228,138,2639.63274674828,78263,8,153.022188217292,0.680811731013136,0.0104048436016827
85,78264,13113,547,4171.43292915427,78264,23,175.398459543964,0.726860356205989,0.0168106445704572
86,78266,1362,25,1835.53597650514,78266,1,73.4214390602056,0.454406295802438,0.00209811182600915
